기준연월,음식점명,개설일자,업종,주소,5시11시이용건수비중,12시13시이용건수비중,18시22시이용건수비중,14시17시이용건수비중,23시24시이용건수비중,평일 이용건수,주말 이용건수,현지인이용건수,남성이용건수,여성이용건수,20대이하이용건수,30대이용건수,40대이용건수,50대이용건수,60대이상이용건수,이용금액구간_x,건당평균이용금액구간_x,이용금액구간_y,건당평균이용금액구간_y
202301,해변,20050407,단품요리 전문,제주 제주시 애월읍 애월리 410-6번지,1.060606060606057,12.727272727272725,39.242424242424235,16.96969696969697,0.0,40.30303030303029,29.696969696969695,16.164948453608247,37.940000000000005,32.059999999999995,15.47,14.07,13.65,17.08,9.73,상위 75~90%,상위 75~90%,상위 75~90%,상위 75~90%
202301,토평골식당,20050704,가정식,제주 서귀포시 토평동 1245-7번지,0.0,0.0,72.72727272727273,27.27272727272727,0.0,72.72727272727273,27.27272727272727,25.60386473429952,57.8,42.2,7.8,16.69999999999999,20.0,32.79999999999999,22.8,상위 10~25%,상위 90% 초과,상위 10~25%,상위 90% 초과
202301,명인일도횟집,20020819,단품요리 전문,제주 제주시 일도이동 50-6번지 1층,0.0,1.9999999999999951,56.0,8.999999999999995,2.999999999999996,41.99999999999999,28.0,55.469422911283374,40.18,29.82,21.42,13.86,17.64,14.42,2.66,상위 90% 초과,상위 75~90%,상위 90% 초과,상위 75~90%
202301,화덕앤그릴,20190218,단품요리 전문,제주 제주시 연동 1497-2번지 1층,0.0,0.0,81.25,6.25,12.5,68.75,31.25,65.41666666666667,66.8,33.2,8.0,10.9,37.0,37.79999999999999,6.3,상위 10% 이하,상위 50~75%,상위 10% 이하,상위 50~75%
202301,스피닝울프,20170315,단품요리 전문,제주 서귀포시 성산읍 고성리 297-1번지 1층,0.0,0.0,61.8018018018018,0.63063063063063,7.567567567567567,40.360360360360346,29.63963963963963,3.218390804597696,34.37,35.63,26.74,27.09,10.01,4.9,1.1900000000000002,상위 25~50%,상위 10~25%,상위 25~50%,상위 10~25%
202301,거제도횟집,20130903,단품요리 전문,제주 제주시 건입동 1435-2번지,0.0,11.11111111111111,50.0,22.22222222222222,16.66666666666666,61.111111111111086,38.888888888888886,13.96226415094339,64.9,35.099999999999994,10.099999999999987,22.8,22.399999999999988,32.89999999999999,11.8,상위 50~75%,상위 90% 초과,상위 50~75%,상위 90% 초과
202301,생돈구이촌,20110405,가정식,제주 제주시 노형동 1277-5번지,0.0,0.0,86.66666666666667,13.33333333333333,0.0,79.99999999999999,20.0,48.59813084112149,69.4,30.6,13.1,31.1,29.6,22.3,3.9,상위 10~25%,상위 75~90%,상위 10~25%,상위 75~90%
202301,은진이네식당,20180308,가정식,제주 제주시 도두일동 2626-5번지,16.41025641025641,10.256410256410255,43.07692307692307,10.256410256410255,0.0,53.33333333333332,26.66666666666666,24.958217270194982,56.48,23.52,11.2,13.759999999999998,19.76,23.52,11.84,상위 10% 이하,상위 25~50%,상위 10% 이하,상위 25~50%
202301,이서림,20050523,가정식,제주 제주시 삼도이동 1234-4번지,0.0,0.0,86.39999999999999,0.0,3.6,68.4,21.6,71.1377245508982,62.81999999999999,27.18,6.39,21.33,29.790000000000003,23.94,8.55,상위 50~75%,상위 90% 초과,상위 50~75%,상위 90% 초과
202301,다인가든,20110729,단품요리 전문,제주 제주시 애월읍 고내리 79-8번지,0.0,0.0,72.30769230769232,7.692307692307688,0.0,53.84615384615383,26.15384615384615,2.5889967637540403,44.88,35.12,7.84,18.88,29.04,18.88,5.44,상위 75~90%,상위 75~90%,상위 75~90%,상위 75~90%
202301,배스킨라빈스제주함덕점,20170704,베이커리,제주 제주시 조천읍 함덕리 1004-28번지 1층,2.666666666666664,5.599999999999998,34.4,17.33333333333333,0.0,33.333333333333314,26.666666666666664,15.068153655514248,28.619999999999997,31.380000000000003,12.119999999999994,18.66,20.579999999999995,6.719999999999994,1.92,상위 25~50%,상위 10% 이하,상위 25~50%,상위 10% 이하
202301,제리스펍 제주서귀포점,20161010,양식,제주 서귀포시 서귀동 716-5번지 2층,0.0,0.0,34.0,0.0,46.0,50.0,30.0,29.131652661064425,46.64,33.36,24.16,25.92,19.92,8.32,1.6800000000000002,상위 25~50%,상위 50~75%,상위 25~50%,상위 50~75%
