기준연월,음식점명,개설일자,업종,주소,5시11시이용건수비중,12시13시이용건수비중,18시22시이용건수비중,14시17시이용건수비중,23시24시이용건수비중,평일 이용건수,주말 이용건수,현지인이용건수,남성이용건수,여성이용건수,20대이하이용건수,30대이용건수,40대이용건수,50대이용건수,60대이상이용건수,이용금액구간,건당평균이용금액구간
202301,해변,20050407,단품요리 전문,제주 제주시 애월읍 애월리 410-6번지,1.060606060606057,12.727272727272725,39.242424242424235,16.96969696969697,0.0,40.30303030303029,29.696969696969695,16.164948453608247,37.940000000000005,32.059999999999995,15.47,14.07,13.65,17.08,9.73,상위 75~90%,상위 75~90%
202301,토평골식당,20050704,가정식,제주 서귀포시 토평동 1245-7번지,0.0,0.0,72.72727272727273,27.27272727272727,0.0,72.72727272727273,27.27272727272727,25.60386473429952,57.8,42.2,7.8,16.69999999999999,20.0,32.79999999999999,22.8,상위 10~25%,상위 90% 초과
202301,오리정,20000128,단품요리 전문,제주 제주시 노형동 1288-5번지,2.222222222222216,8.88888888888889,48.88888888888889,20.0,0.0,51.11111111111111,28.88888888888888,62.37974683544304,48.48,31.519999999999992,9.44,18.64,13.84,25.04,13.04,상위 25~50%,상위 50~75%
202301,제라진밥상,20200720,가정식,제주 제주시 조천읍 함덕리 4150번지,32.786885245901644,26.557377049180328,0.0,0.655737704918028,0.0,50.81967213114753,9.180327868852457,20.838988278840223,37.5,22.5,5.04,16.8,24.3,9.48,4.319999999999999,상위 75~90%,상위 25~50%
202301,명인일도횟집,20020819,단품요리 전문,제주 제주시 일도이동 50-6번지 1층,0.0,1.9999999999999951,56.0,8.999999999999995,2.999999999999996,41.99999999999999,28.0,55.469422911283374,40.18,29.82,21.42,13.86,17.64,14.42,2.66,상위 90% 초과,상위 75~90%
202301,우등생 세번째 이야기,20220504,가정식,제주 제주시 이도이동 99-2번지 1층,3.1372549019607843,9.411764705882351,58.03921568627451,7.84313725490196,1.568627450980392,54.90196078431373,25.09803921568627,67.93296089385476,49.28,30.72,4.16,25.2,31.43999999999999,11.6,7.6,상위 75~90%,상위 90% 초과
202301,거제도횟집,20130903,단품요리 전문,제주 제주시 건입동 1435-2번지,0.0,11.11111111111111,50.0,22.22222222222222,16.66666666666666,61.111111111111086,38.888888888888886,13.96226415094339,64.9,35.099999999999994,10.099999999999987,22.8,22.399999999999988,32.89999999999999,11.8,상위 50~75%,상위 90% 초과
202301,생돈구이촌,20110405,가정식,제주 제주시 노형동 1277-5번지,0.0,0.0,86.66666666666667,13.33333333333333,0.0,79.99999999999999,20.0,48.59813084112149,69.4,30.6,13.1,31.1,29.6,22.3,3.9,상위 10~25%,상위 75~90%
202301,색달가든,20190212,단품요리 전문,제주 제주시 이도이동 1039-14번지,0.0,0.0,100.0,0.0,0.0,86.66666666666667,13.33333333333332,87.2,72.4,27.6,14.499999999999998,20.7,18.6,28.999999999999996,17.2,상위 25~50%,상위 75~90%
202301,은진이네식당,20180308,가정식,제주 제주시 도두일동 2626-5번지,16.41025641025641,10.256410256410255,43.07692307692307,10.256410256410255,0.0,53.33333333333332,26.66666666666666,24.958217270194982,56.48,23.52,11.2,13.759999999999998,19.76,23.52,11.84,상위 10% 이하,상위 25~50%
202301,철수네숯불갈비,20190905,가정식,제주 제주시 연동 460-5번지 1층,0.0,0.0,80.0,0.0,0.0,48.88888888888887,31.111111111111107,59.13696060037523,53.67999999999999,26.319999999999993,4.5600000000000005,18.08,31.36,17.2,8.8,상위 50~75%,상위 50~75%
202301,초밥공장,20210329,단품요리 전문,제주 제주시 구좌읍 월정리 1896-13번지 1층,0.0,26.206896551724135,34.48275862068965,19.310344827586206,0.0,38.620689655172406,41.37931034482758,7.115384615384616,35.43999999999999,44.56,32.879999999999995,29.44,9.92,6.32,1.36,상위 50~75%,상위 50~75%
202301,배스킨라빈스제주함덕점,20170704,베이커리,제주 제주시 조천읍 함덕리 1004-28번지 1층,2.666666666666664,5.599999999999998,34.4,17.33333333333333,0.0,33.333333333333314,26.666666666666664,15.068153655514248,28.619999999999997,31.380000000000003,12.119999999999994,18.66,20.579999999999995,6.719999999999994,1.92,상위 25~50%,상위 10% 이하
202301,대정고을식당,20070222,가정식,제주 서귀포시 대정읍 인성리 251-1번지,15.319148936170208,54.46808510638298,0.0,10.212765957446807,0.0,66.38297872340424,13.617021276595745,26.666666666666664,53.84,26.16,11.52,16.64,23.68,18.0,10.24,상위 10~25%,상위 25~50%
202301,제이팩토리,20220928,단품요리 전문,제주 서귀포시 토평동 1797번지 토평동,11.729323308270672,22.105263157894736,0.0,26.16541353383458,0.0,35.187969924812016,24.81203007518797,1.478439425051334,34.620000000000005,25.38,14.22,13.08,22.38,8.82,1.5,상위 10~25%,상위 10% 이하
202301,숙성돈가,20211014,가정식,제주 서귀포시 중문동 2451번지 1층,1.627906976744181,8.95348837209302,46.3953488372093,13.023255813953485,0.0,43.95348837209301,26.046511627906973,9.019033674963396,43.12,26.88,8.82,19.25,22.4,13.72,5.8100000000000005,상위 75~90%,상위 75~90%
202301,상명식당,20210325,가정식,제주 제주시 한림읍 상명리 1015-1번지,29.354838709677416,28.2258064516129,11.290322580645157,1.129032258064515,0.0,54.193548387096776,15.806451612903215,46.14604462474645,44.73,25.27,3.57,7.98,21.56,23.309999999999995,13.579999999999991,상위 25~50%,상위 25~50%
202301,해조곱창,20201217,단품요리 전문,제주 제주시 노형동 1051-5번지 1층,0.0,0.0,77.72727272727273,8.181818181818182,4.090909090909086,85.90909090909088,4.090909090909086,74.1951219512195,70.28999999999999,19.70999999999999,10.43999999999999,14.04,30.50999999999999,28.53,6.39,상위 25~50%,상위 75~90%
